# BTCUSDT 1h  source=file-cache  n=8760
# from=2025-07-31T21:00:00.000Z  to=2026-07-31T20:00:00.000Z
timestamp	date	open	high	low	close	volume
1778590800000	2026-05-12T13:00:00.000Z	80881.25	80928.26	80397.07	80466.91	795.94705
1778594400000	2026-05-12T14:00:00.000Z	80466.91	80888.01	80397.88	80540	865.59094
1778598000000	2026-05-12T15:00:00.000Z	80540	80676.78	80188.65	80336.01	958.32005
1778601600000	2026-05-12T16:00:00.000Z	80336.01	80435.99	79843.59	80000.01	1473.4545
1778605200000	2026-05-12T17:00:00.000Z	80000.01	80593.06	79951.05	80527.69	486.64257
1778608800000	2026-05-12T18:00:00.000Z	80527.69	80763.81	80430	80679.12	367.3581
1778612400000	2026-05-12T19:00:00.000Z	80679.11	80874.42	80679.11	80834.64	346.22158
1778616000000	2026-05-12T20:00:00.000Z	80835.3	80896.25	80642.85	80696.87	292.49967
1778619600000	2026-05-12T21:00:00.000Z	80696.87	80738	80497	80587.44	202.53849
1778623200000	2026-05-12T22:00:00.000Z	80587.45	80791.94	80587.45	80656.43	151.10909
1778626800000	2026-05-12T23:00:00.000Z	80656.44	80714	80439.91	80504.47	247.40723
1778630400000	2026-05-13T00:00:00.000Z	80504.47	80768.95	80412.15	80718	230.81443
1778634000000	2026-05-13T01:00:00.000Z	80718	81195.69	80683.12	81006	633.76198
1778637600000	2026-05-13T02:00:00.000Z	81005.99	81281.66	80934.69	81050	333.93602
1778641200000	2026-05-13T03:00:00.000Z	81050	81299.99	80976.27	81249.99	377.40594
1778644800000	2026-05-13T04:00:00.000Z	81249.99	81281.07	81124.87	81231.96	253.70329
1778648400000	2026-05-13T05:00:00.000Z	81231.96	81247.22	80999.99	81019.99	266.87053
1778652000000	2026-05-13T06:00:00.000Z	81020	81160.36	80972.94	80980.05	499.1653
1778655600000	2026-05-13T07:00:00.000Z	80980.06	81049.01	80889.12	81026.92	476.02435
1778659200000	2026-05-13T08:00:00.000Z	81026.92	81200	80943.63	81196.57	372.92514
1778662800000	2026-05-13T09:00:00.000Z	81196.57	81324.64	81137.77	81291.38	435.50222
1778666400000	2026-05-13T10:00:00.000Z	81291.37	81298.5	80809.01	80809.01	364.76288
1778670000000	2026-05-13T11:00:00.000Z	80809.01	80843.87	80494.98	80501.22	668.09274
1778673600000	2026-05-13T12:00:00.000Z	80501.22	80592.65	79852	80202.78	1194.36751
1778677200000	2026-05-13T13:00:00.000Z	80202.78	80345.45	79576.47	79656.01	1205.27854
1778680800000	2026-05-13T14:00:00.000Z	79656.01	79898	79481.56	79756.01	942.38578
1778684400000	2026-05-13T15:00:00.000Z	79756.02	79856.08	78807.22	78827.21	1731.43058
